"Image","Name","Price","Discount","Rating"
"https://images.meesho.com/images/products/62708111/oyzzi_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-057","₹347","22%","NULL"
"https://images.meesho.com/images/products/62705214/d9jgb_512.jpg","Dresses","₹628","14%","3.7"
"https://images.meesho.com/images/products/62712441/jvrkk_512.jpg","Stylish Fashionable Women Dresses","₹317","24%","4.1"
"https://images.meesho.com/images/products/62714908/4j0ee_512.jpg","Kurtis","₹388","20%","NULL"
"https://images.meesho.com/images/products/62710700/vgqs8_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62708233/bywow_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-050","₹347","22%","NULL"
"https://images.meesho.com/images/products/62147018/5zlcz_512.jpg","DRESS","₹327","23%","3.7"
"https://images.meesho.com/images/products/62724077/t1j9u_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62152933/dyjow_512.jpg","EDIRA Womens Shift Dress","₹618","14%","NULL"
"https://images.meesho.com/images/products/62704584/xl4hf_512.jpg","I KHODAL TRADING Women's Crepe Western Dress","₹348","22%","3.8"
"https://images.meesho.com/images/products/62697065/wuvzx_512.jpg","GUNGRAHAK FABULOUS WESTERN WEAR DRESSES","₹388","20%","4.1"
"https://images.meesho.com/images/products/62704815/tj60k_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-060","₹340","23%","NULL"
"https://images.meesho.com/images/products/62732958/ljhxd_512.jpg","Gowns","₹418","19%","3.2"
"https://images.meesho.com/images/products/62701033/fvrmn_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62692895/mp1nh_512.jpg","maxi dress","₹628","14%","3.9"
"https://images.meesho.com/images/products/62709702/vrm7e_512.jpg","NEW PARTY WEAR STYLIST FASHION SKATER ONE PIECE LOW PRICE LATEST CASUAL DRESSES FOR WOMEN INZ-063","₹344","23%","NULL"
"https://images.meesho.com/images/products/62705747/ej0qj_512.jpg","Comfy Sensational Wome kurti","₹967","9%","NULL"
"https://images.meesho.com/images/products/62705756/sfjur_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62709550/xyexn_512.jpg","R K Textiles Women Crepe Printed Good Quality Dresses (Pack Of 2)","₹367","21%","3.8"
"https://images.meesho.com/images/products/62142470/5knrn_512.jpg","Women's Western Party Wear Multicolor Fit And Flare Sleeveless (Inside Sleeve Attached) Yellow and Red Dress(Combo Pack Of 2)","₹417","19%","3.8"
"https://images.meesho.com/images/products/62168833/2musp_512.jpg","Beautiful Women Rayon Dresses","₹317","24%","NULL"
"https://images.meesho.com/images/products/62699433/sneh3_512.jpg","Women's Dress","₹467","18%","3.6"
"https://images.meesho.com/images/products/62702951/4upqw_512.jpg","maxidress","₹628","14%","3.7"
"https://images.meesho.com/images/products/62705257/s4d0i_512.jpg","Trendy Fabulous Women Dresses","₹967","9%","NULL"
